"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"230",1,5,15,-0.637490872953855,0.6439733612177,-0.078330078125,138
"231",2,1,15,NA,1,NA,2
"232",2,2,15,-0.0612738362871024,0.666666666666667,1.08173828125,8
"233",2,3,15,-0.250426375824582,0.456666666666667,-1.99999640168177,6
"234",2,4,15,0.444005492606353,0.65112160566706,-1.01462890625,12
"235",2,5,15,NA,1,NA,2
"236",3,1,15,-14.5210185772112,0.636753802445032,-0.0369253540039062,2104
"237",3,2,15,-4.70307826729739,0.629001817953192,-0.361170349121094,280
"238",3,3,15,-2.02699384352462,0.610997377639018,-0.39779052734375,123
"239",3,4,15,0.00591216352243317,0.588888888888889,-1.56445103112378,7
"240",3,5,15,NA,NA,NA,NA
"241",1,1,16,NA,NA,NA,NA
"242",1,2,16,NA,NA,NA,NA
"243",1,3,16,NA,1,NA,2
"244",1,4,16,-0.89991682112151,0.673333333333333,-0.9321875,6
"245",1,5,16,0.610991222687108,0.611111111111111,-1.99999640168177,4
"246",2,1,16,NA,1,NA,2
"247",2,2,16,-0.323456082648813,0.75,2.27125,3
"248",2,3,16,-1.38083187021251,0.791666666666667,9.99967852144474,5
"249",2,4,16,-0.297164964746051,0.8125,-0.366875,5
"250",2,5,16,0.134272736606348,0.665833333333333,-0.366875,11
"251",3,1,16,-8.55648484491986,0.63594297586808,-0.0135589306561279,734
"252",3,2,16,-3.12997515589658,0.656230058089584,0.29707275390625,140
"253",3,3,16,-2.54868006417785,0.68009118435066,0.710751953125,139
"254",3,4,16,NA,1,NA,2
"255",3,5,16,NA,NA,NA,NA
"256",1,1,17,NA,NA,NA,NA
"257",1,2,17,NA,NA,NA,NA
"258",1,3,17,NA,1,NA,2
"259",1,4,17,NA,1,NA,2
"260",1,5,17,-3.37939329247657,0.660085396921351,0.6371435546875,97
"261",2,1,17,-0.847254920111076,0.75,2.27125,3
"262",2,2,17,1.0060945522282,0.611111111111111,-1.99999640168177,4
"263",2,3,17,-1.01124899016577,0.611111111111111,-1.99999640168177,4
"264",2,4,17,0.209404519198924,0.718452380952381,3.7080859375,15
"265",2,5,17,0.115499246483005,0.783116883116883,9.99967852144474,12
"266",3,1,17,-8.93671412598469,0.657056350406428,0.117470484610077,615
"267",3,2,17,-14.4376161060447,0.646337645883118,0.0742233276367187,2281
"268",3,3,17,-2.27555747388463,0.683090600924429,0.23376953125,120
"269",3,4,17,0.152012270714521,0.761111111111111,9.99967852144474,7
"270",3,5,17,NA,NA,NA,NA
"271",1,1,18,NA,1,NA,2
"272",1,2,18,NA,NA,NA,NA
