"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"283",2,3,11,-0.885360093958781,0.711509803921569,1.894375,26
"284",2,4,11,1.90717704072483,0.680292087249101,9.90142996900245,27
"285",2,5,11,1.16144558120861,0.630198879917459,-0.490537109375,239
"286",3,1,11,-2.83589701183217,0.654770965625307,0.3191552734375,43
"287",3,2,11,-0.920661241187884,0.652590811965812,1.923818359375,25
"288",3,3,11,1.41928958024863,0.533102369915871,-0.9321875,47
"289",3,4,11,-0.526865350926468,0.721588841713535,0.157216796875,83
"290",3,5,11,-0.228497321172232,0.770408163265306,-0.1784375,8
"291",4,1,11,-4.99877885615141,0.636724008619842,0.01,301
"292",4,2,11,-4.61459579557873,0.678750388486852,-0.02533203125,177
"293",4,3,11,-0.850255088970658,0.58287037037037,2.648125,13
"294",4,4,11,NA,1,NA,NA
"295",4,5,11,NA,NA,NA,NA
"296",5,1,11,-3.63467345357879,0.637707181658438,-0.254990234375,260
"297",5,2,11,-1.33935960011209,0.695876512254846,0.21021484375,71
"298",5,3,11,1.95864803215906,0.648611111111111,-0.808525390625,13
"299",5,4,11,0.110757583433224,0.75,2.27125,3
"300",5,5,11,NA,1,NA,2
"301",1,1,12,NA,1,NA,NA
"302",1,2,12,0.0638936913282636,0.611111111111111,-1.99999640168177,4
"303",1,3,12,0.46499138420608,0.67284407966085,4.3676171875,36
"304",1,4,12,-5.49286955291524,0.664230002407957,0.2720458984375,403
"305",1,5,12,NA,NA,NA,NA
"306",2,1,12,-0.519911062857508,0.611111111111111,-1.99999640168177,4
"307",2,2,12,-0.495422824892474,0.791666666666667,9.99967852144474,5
"308",2,3,12,-2.26544934327994,0.638594487278186,0.074775390625,96
"309",2,4,12,-0.615151748669108,0.694356261022928,6.840859375,37
"310",2,5,12,0.65996910698523,0.651475458754064,-0.33154296875,67
"311",3,1,12,-0.549962280407268,0.66962481962482,-0.74375,15
"312",3,2,12,-1.03523639304366,0.618437823847488,-0.56708984375,29
"313",3,3,12,0.0704877861449959,0.673333333333333,-0.9321875,6
"314",3,4,12,0.428827122098058,0.645407440748965,-0.15929931640625,71
"315",3,5,12,0.106909307375949,0.640940306411919,0.85796875,67
"316",4,1,12,-3.93743261226828,0.653067798451334,0.1424951171875,213
"317",4,2,12,-3.09201972629926,0.621030876408719,0.039443359375,91
"318",4,3,12,-0.87109948944397,0.625744940638558,1.92970703125,48
"319",4,4,12,-1.37103976015128,0.520833333333333,-1.99999640168177,3
"320",4,5,12,NA,NA,NA,NA
"321",5,1,12,-0.274521832417634,0.556335215710216,-1.1942333984375,25
"322",5,2,12,-0.480992457667244,0.62917335172584,0.0188330078125,79
"323",5,3,12,-0.396103702328608,0.555160565558772,-1.167734375,38
"324",5,4,12,-0.0287931523264565,0.693773674242424,-0.2491015625,17
"325",5,5,12,-1.09933740098702,0.68546626984127,2.035703125,17
"326",1,1,13,NA,1,NA,NA
"327",1,2,13,-0.132662775053458,0.791666666666667,9.99967852144474,5
"328",1,3,13,-0.444742792363588,0.631002233940483,0.345654296875,84
"329",1,4,13,-8.09086938465046,0.63553992806202,-0.0987579161914062,1166
"330",1,5,13,NA,NA,NA,NA
"331",2,1,13,NA,1,NA,2
"332",2,2,13,-0.729852506688806,0.824074074074074,9.99967852144474,10
"333",2,3,13,-0.635919423791143,0.752277432712215,9.99967852144474,24
"334",2,4,13,0.660412078690439,0.653614382583706,0.09244140625,76
"335",2,5,13,2.12581011055753,0.627939440723631,-0.263995761871338,332
"336",3,1,13,-0.445905560139377,0.665631469979296,2.506796875,24
"337",3,2,13,0.546534945097367,0.557828282828283,-1.4003369140625,12
"338",3,3,13,-1.02659248075848,0.652202990756968,0.9551318359375,76
"339",3,4,13,-1.94505813798132,0.622181231273651,-0.183590087890625,49
"340",3,5,13,0.604482517306247,0.697327067751904,2.74234375,28
"341",4,1,13,-5.74059287587162,0.653290774085845,0.11599609375,378
"342",4,2,13,-2.8579135370953,0.656953948082981,0.3368212890625,94
"343",4,3,13,-0.976407561767563,0.597104837191794,-0.8144140625,26
"344",4,4,13,-2.00089022374316,0.611111111111111,-1.99999640168177,2
"345",4,5,13,NA,NA,NA,NA
"346",5,1,13,-1.026237189228,0.66948960424164,1.193623046875,162
"347",5,2,13,-2.97417724833974,0.648036573680036,-0.254990234375,191
"348",5,3,13,-1.22071834358207,0.653423383068012,0.146175537109375,156
"349",5,4,13,0.190061915737836,0.639194139194139,-0.8762451171875,14
"350",5,5,13,0.907323253255454,0.680555555555555,9.99967852144474,7
"351",1,1,14,NA,1,NA,2
"352",1,2,14,NA,1,NA,2
"353",1,3,14,-1.07249562776553,0.715416666666667,3.9671875,21
"354",1,4,14,-6.66708794759217,0.650231170259202,0.2484912109375,946
"355",1,5,14,NA,NA,NA,NA
"356",2,1,14,-0.683505478106716,0.666666666666667,6.04,6
"357",2,2,14,-0.811019648120648,0.75,2.27125,3
"358",2,3,14,0.375100641602963,0.686104327770994,-0.6112548828125,19
"359",2,4,14,-1.35692795321041,0.629911757903039,0.29265625,75
"360",2,5,14,0.647500099439706,0.719913286302175,0.23376953125,28
"361",3,1,14,0.329556651005113,0.592926287015418,-0.64953125,58
"362",3,2,14,-0.905091073225203,0.495477599323753,-1.60567173424878,14
"363",3,3,14,-0.793150746271984,0.652724157557174,0.79908203125,109
"364",3,4,14,-0.917070634589587,0.676105620958562,0.48109375,73
"365",3,5,14,-1.00309626547903,0.598511556669451,-0.1784375,36
"366",4,1,14,-9.37882253976649,0.64701138041522,-0.06802640984375,1331
"367",4,2,14,-3.59450458477468,0.653657462005335,0.0306103515625,337
"368",4,3,14,0.197881800896221,0.596134557834065,-0.3109326171875,43
"369",4,4,14,NA,1,NA,2
"370",4,5,14,NA,NA,NA,NA
"371",5,1,14,-1.01198168070992,0.601265135567461,-0.40220703125,44
"372",5,2,14,-0.580709925897946,0.693035787629609,0.015888671875,47
"373",5,3,14,-0.842757912511935,0.59738005263147,-0.63039306640625,48
"374",5,4,14,-0.334937497589889,0.699829931972789,2.27125,15
"375",5,5,14,-0.343953669757295,0.666666666666667,9.99967852144474,8
"376",1,1,15,NA,1,NA,2
"377",1,2,15,NA,1,NA,2
"378",1,3,15,-0.533868723491195,0.75,2.27125,3
"379",1,4,15,-8.84752228085501,0.643724796983618,-0.0256124455722046,1716
"380",1,5,15,NA,NA,NA,NA
"381",2,1,15,-1.36413685050455,0.598214285714286,-1.03376708984375,9
"382",2,2,15,0.0134628255504389,0.520833333333333,-1.99999640168177,5
"383",2,3,15,-0.903094456272256,0.649894244644245,-0.3433203125,51
"384",2,4,15,1.67402073130584,0.649481106351322,0.098330078125,236
"385",2,5,15,0.604615936705051,0.653629982663628,-0.131328125,67
"386",3,1,15,-0.367648865439443,0.797619047619048,9.99967852144474,10
"387",3,2,15,0.703197340651497,0.75,2.27125,3
"388",3,3,15,-2.03380741536399,0.670024695543189,0.339765625,77
"389",3,4,15,0.451921446948242,0.698557183557184,9.90142996900245,31
"390",3,5,15,-0.295037654155674,0.629474548440066,0.057109375,30
"391",4,1,15,-3.8873191243232,0.643610422628456,-0.0577197265625,376
"392",4,2,15,-5.73478556424604,0.653529166049423,0.241866455078125,719
"393",4,3,15,-0.455151002011139,0.605989583333333,-1.36794921875,17
"394",4,4,15,-0.581066374403965,0.75,2.27125,NA
"395",4,5,15,NA,NA,NA,NA
"396",5,1,15,-0.510631942326828,0.713151515151515,1.4468359375,26
"397",5,2,15,-0.0767058822852023,0.791666666666667,9.99967852144474,5
"398",5,3,15,-0.415863312942334,0.732103952692188,-0.196103515625,22
"399",5,4,15,0.840306599217708,0.673333333333333,-0.9321875,6
"400",5,5,15,NA,1,NA,2
"401",1,1,16,NA,1,NA,2
"402",1,2,16,NA,1,NA,2
"403",1,3,16,-1.3818424536559,0.611111111111111,-1.99999640168177,4
"404",1,4,16,-8.93452001217279,0.666398241652875,0.181152535179443,1027
"405",1,5,16,NA,NA,NA,NA
"406",2,1,16,-0.97539094791956,0.8125,-0.366875,5
"407",2,2,16,-0.502056521608557,0.9,9.99967852144474,6
"408",2,3,16,-1.30639332422314,0.677513227513228,2.1534765625,13
