,Unnamed: 0,param_vary,i_param_var,replicate,PBD.l1,PBD.l2,PBD.l3,PBD.mu1,PBD.mu2,SR,PBD.LR.all,PBD.LR.extant,ML.l,ML.mu,MCMC.l.mean,MCMC.l.median,MCMC.l.sd,MCMC.l.q25,MCMC.l.q75,MCMC.l.ess,MCMC.mu.mean,MCMC.mu.median,MCMC.mu.sd,MCMC.mu.q25,MCMC.mu.q75,MCMC.mu.ess,MCMC.div.mean,MCMC.div.median,MCMC.div.sd,MCMC.div.q25,MCMC.div.q75,MCMC.turnov.mean,MCMC.turnov.median,MCMC.turnov.sd,MCMC.turnov.q25,MCMC.turnov.q75
45,21,5,1,1,0.5,1.0,0.4,0.2,0.02,659,1321,937,0.303497963656182,0.0,0.306863085646884,0.306424426051963,0.0121994292538637,0.298569987012209,0.314991229993359,3872.91159458909,0.0059265561222354,0.0041213057619573,0.0057193838423412,0.0017274980422238,0.0083052615452271,1611.35440925554,0.300936529524649,0.30079576342933,0.0121800808857765,0.292665050506116,0.309275681764142,0.019170512440088,0.0135228214605815,0.0182122400737518,0.0056660466137979,0.0272684600436943
46,22,5,2,1,0.5,1.0,0.4,0.2,0.0632455532033676,261,544,366,0.307272348574039,0.0,0.318114096824089,0.317464060753124,0.0215208174193314,0.303266184865285,0.332532084113319,2535.63164917453,0.0201015858163882,0.0142945740884323,0.0190801666285331,0.0060641754635954,0.0286819824859392,1354.67062595002,0.298012511007701,0.297935342857824,0.0216718685574105,0.283325144972322,0.312410037111006,0.0617705840721776,0.0456588569922795,0.0559253669375415,0.0195928017085298,0.0895067490721798
47,23,5,3,1,0.5,1.0,0.4,0.2,0.2,197,455,270,0.273520702852313,0.0,0.287757764951356,0.285602025346596,0.0234676919797611,0.271523232234865,0.302038639260918,1716.88671805057,0.0259841654881093,0.0193048238697795,0.0238900323812957,0.0078258980126937,0.0373984683715193,1309.17292146412,0.261773599463247,0.262367242875038,0.0224511926138258,0.247120184481791,0.276445797887549,0.0873803230659234,0.0680463664622005,0.0751435262031422,0.0281812541147904,0.128064699972653
48,24,5,4,1,0.5,1.0,0.4,0.2,0.632455532033676,63,203,94,0.255319183063682,0.0,0.294742064812398,0.288962739156787,0.0492655591032473,0.260948917373042,0.321153444611598,1065.77093937249,0.0706977051154808,0.052946041556659,0.0613920803107986,0.0244362137438499,0.1010984528946,913.543669496457,0.224044359696917,0.225415614228272,0.0454416550343655,0.195661781605944,0.254317514786132,0.224963074090523,0.190122346601407,0.167149405645867,0.0920010947624152,0.33156852380877
49,25,5,5,1,0.5,1.0,0.4,0.2,2.0,3,41,3,0.244714630980522,0.790038192745156,0.398864982995581,0.305230262500454,0.333603093030641,0.163386021062732,0.53212188279814,1160.15018279443,1.14664497799562,1.01477531345032,0.714810793263751,0.624810277818605,1.52218330872871,1272.37839168433,-0.74777999500004,-0.633059182936258,0.552454566268069,-1.02411251860971,-0.346747460446034,4.55614321386607,2.95824211326395,7.05444666394419,1.99442933550656,4.75730539001284
50,1,1,1,2,0.05,1.0,0.4,0.2,0.2,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,
51,2,1,2,2,0.158113883008419,1.0,0.4,0.2,0.2,11,41,11,0.156182855137096,0.0579594029310392,0.249688309132009,0.225703472674192,0.113845278890575,0.170209841755526,0.301801344984194,774.139905857905,0.213033772881795,0.177901863162837,0.160904964955084,0.0905440016727031,0.297661948094543,734.682690704436,0.0366545362502131,0.0453359162854678,0.0923880097495267,-0.0220595956228375,0.101104875060802,0.799506338339361,0.798839157113499,0.420139031011425,0.495177393841774,1.0826115601188
52,3,1,3,2,0.5,1.0,0.4,0.2,0.2,104,248,154,0.267050929127448,0.0,0.295789838769162,0.292426052751936,0.0380435304289998,0.268561772983082,0.317826767618336,1115.1343559988,0.051450070126868,0.0384100745890771,0.0462437861655713,0.01707545546517,0.0736459715276564,1037.35536636644,0.244339768642294,0.245979455157665,0.0343566198083038,0.222810665128362,0.267303093181644,0.164235620896006,0.132748186012074,0.129921805834336,0.061184931026545,0.239250827413585
53,4,1,4,2,0.792446596230557,1.0,0.4,0.2,0.2,2671,6011,4116,0.378409924634992,0.0,0.379668346071782,0.379646070676851,0.0074227368187975,0.374626018466553,0.384782251514548,4040.55797851204,0.0021165378760555,0.0015092516576928,0.0020878209183105,0.0006372717933269,0.0029034714987318,1471.98458924075,0.377551808195726,0.377506721287381,0.0074286685692443,0.372512889842916,0.382638248005185,0.0055621087252388,0.0040202923842841,0.005463512002032,0.0016908839785488,0.0076680877836216
54,5,1,5,2,1.25594321575479,1.0,0.4,0.2,0.2,47782,108897,83450,0.506142539726874,0.0,0.506225650360943,0.506231926366364,0.0022911489681982,0.504636674112639,0.507774614883066,4501.00000000001,0.0001153577324094,7.87348704660024e-05,0.0001182399672213,3.28717515207775e-05,0.0001584194518083,1331.60985313947,0.506110292628534,0.506116353619153,0.0022923262060189,0.504527328044987,0.507657208554546,0.0002278660431266,0.0001555821494694,0.0002335743011744,6.48640168288999e-05,0.0003134484069502
