,Unnamed: 0,param_vary,i_param_var,replicate,PBD.l1,PBD.l2,PBD.l3,PBD.mu1,PBD.mu2,SR,PBD.LR.all,PBD.LR.extant
212,3,1,3,14,0.5,1.0,0.5,0.2,0.2,9,23,10
213,4,1,4,14,0.629462705897084,1.0,0.629462705897084,0.2,0.2,55,119,76
214,5,1,5,14,0.792446596230557,1.0,0.792446596230557,0.2,0.2,6067,13877,10400
215,6,2,1,14,0.5,0.1,0.5,0.2,0.2,2,26,2
216,7,2,2,14,0.5,0.316227766016838,0.5,0.2,0.2,4,24,9
217,8,2,3,14,0.5,1.0,0.5,0.2,0.2,37,84,49
218,9,2,4,14,0.5,3.16227766016838,0.5,0.2,0.2,71,120,79
219,10,2,5,14,0.5,10.0,0.5,0.2,0.2,11,30,13
220,11,3,1,14,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,344,532,522
221,12,3,2,14,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,1849,2941,2757
222,13,3,3,14,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,552,933,796
223,14,3,4,14,0.5,1.0,0.5,0.2,0.2,20,64,31
224,15,3,5,14,0.5,1.0,0.5,0.502377286301916,0.502377286301916,11,32,13
225,1,1,1,15,0.315478672240097,1.0,0.315478672240097,0.2,0.2,35,87,43
226,2,1,2,15,0.397164117362141,1.0,0.397164117362141,0.2,0.2,60,140,82
227,3,1,3,15,0.5,1.0,0.5,0.2,0.2,182,403,246
228,4,1,4,15,0.629462705897084,1.0,0.629462705897084,0.2,0.2,985,2246,1507
229,5,1,5,15,0.792446596230557,1.0,0.792446596230557,0.2,0.2,19098,43370,32334
230,6,2,1,15,0.5,0.1,0.5,0.2,0.2,4,42,21
231,7,2,2,15,0.5,0.316227766016838,0.5,0.2,0.2,36,133,89
232,8,2,3,15,0.5,1.0,0.5,0.2,0.2,332,801,491
233,9,2,4,15,0.5,3.16227766016838,0.5,0.2,0.2,213,422,240
234,10,2,5,15,0.5,10.0,0.5,0.2,0.2,10,25,10
235,11,3,1,15,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,106,156,150
236,12,3,2,15,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,1424,2210,2068
237,13,3,3,15,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,49,94,74
238,14,3,4,15,0.5,1.0,0.5,0.2,0.2,498,1186,730
239,15,3,5,15,0.5,1.0,0.5,0.502377286301916,0.502377286301916,4,54,4
240,1,1,1,16,0.315478672240097,1.0,0.315478672240097,0.2,0.2,2,9,2
241,2,1,2,16,0.397164117362141,1.0,0.397164117362141,0.2,0.2,20,50,26
242,3,1,3,16,0.5,1.0,0.5,0.2,0.2,94,233,139
243,4,1,4,16,0.629462705897084,1.0,0.629462705897084,0.2,0.2,687,1492,1045
244,5,1,5,16,0.792446596230557,1.0,0.792446596230557,0.2,0.2,3313,7396,5609
245,6,2,1,16,0.5,0.1,0.5,0.2,0.2,27,216,127
246,7,2,2,16,0.5,0.316227766016838,0.5,0.2,0.2,41,135,78
247,8,2,3,16,0.5,1.0,0.5,0.2,0.2,135,324,198
248,9,2,4,16,0.5,3.16227766016838,0.5,0.2,0.2,171,337,196
249,10,2,5,16,0.5,10.0,0.5,0.2,0.2,58,116,63
250,11,3,1,16,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,883,1408,1380
251,12,3,2,16,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,350,583,551
252,13,3,3,16,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,774,1371,1152
253,14,3,4,16,0.5,1.0,0.5,0.2,0.2,332,733,469
254,15,3,5,16,0.5,1.0,0.5,0.502377286301916,0.502377286301916,5,30,7
255,1,1,1,17,0.315478672240097,1.0,0.315478672240097,0.2,0.2,19,46,22
256,2,1,2,17,0.397164117362141,1.0,0.397164117362141,0.2,0.2,75,177,96
257,3,1,3,17,0.5,1.0,0.5,0.2,0.2,8,29,8
258,4,1,4,17,0.629462705897084,1.0,0.629462705897084,0.2,0.2,207,502,324
259,5,1,5,17,0.792446596230557,1.0,0.792446596230557,0.2,0.2,36278,82076,61126
260,6,2,1,17,0.5,0.1,0.5,0.2,0.2,25,187,123
261,7,2,2,17,0.5,0.316227766016838,0.5,0.2,0.2,62,214,135
262,8,2,3,17,0.5,1.0,0.5,0.2,0.2,56,160,95
263,9,2,4,17,0.5,3.16227766016838,0.5,0.2,0.2,29,59,36
264,10,2,5,17,0.5,10.0,0.5,0.2,0.2,26,45,27
265,11,3,1,17,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,905,1423,1386
266,12,3,2,17,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,30,43,40
267,13,3,3,17,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,1262,2203,1893
268,14,3,4,17,0.5,1.0,0.5,0.2,0.2,125,288,187
269,15,3,5,17,0.5,1.0,0.5,0.502377286301916,0.502377286301916,22,104,32
270,1,1,1,18,0.315478672240097,1.0,0.315478672240097,0.2,0.2,13,24,17
271,2,1,2,18,0.397164117362141,1.0,0.397164117362141,0.2,0.2,3,8,3
272,3,1,3,18,0.5,1.0,0.5,0.2,0.2,44,93,63
273,4,1,4,18,0.629462705897084,1.0,0.629462705897084,0.2,0.2,1022,2229,1568
274,5,1,5,18,0.792446596230557,1.0,0.792446596230557,0.2,0.2,2000,4461,3339
275,6,2,1,18,0.5,0.1,0.5,0.2,0.2,49,360,200
276,7,2,2,18,0.5,0.316227766016838,0.5,0.2,0.2,34,139,82
277,8,2,3,18,0.5,1.0,0.5,0.2,0.2,79,166,98
278,9,2,4,18,0.5,3.16227766016838,0.5,0.2,0.2,51,103,61
279,10,2,5,18,0.5,10.0,0.5,0.2,0.2,278,493,291
280,11,3,1,18,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,782,1196,1163
281,12,3,2,18,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,61,92,88
282,13,3,3,18,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,4,8,5
283,14,3,4,18,0.5,1.0,0.5,0.2,0.2,26,71,42
284,15,3,5,18,0.5,1.0,0.5,0.502377286301916,0.502377286301916,20,110,21
285,1,1,1,19,0.315478672240097,1.0,0.315478672240097,0.2,0.2,13,45,16
286,2,1,2,19,0.397164117362141,1.0,0.397164117362141,0.2,0.2,49,130,72
287,3,1,3,19,0.5,1.0,0.5,0.2,0.2,284,672,414
288,4,1,4,19,0.629462705897084,1.0,0.629462705897084,0.2,0.2,1122,2518,1733
289,5,1,5,19,0.792446596230557,1.0,0.792446596230557,0.2,0.2,692,1484,1121
290,6,2,1,19,0.5,0.1,0.5,0.2,0.2,18,150,82
291,7,2,2,19,0.5,0.316227766016838,0.5,0.2,0.2,57,234,132
292,8,2,3,19,0.5,1.0,0.5,0.2,0.2,21,51,29
