"","param_vary","i_param_var","replicate","gamma","stairs2","SR"
"293",4,3,11,0.249752063283242,0.637909704455057,95
"294",4,4,11,1.73778843004141,1,4
"295",4,5,11,NA,NA,NA
"296",5,1,11,0.676608000291947,0.663203282214507,109
"297",5,2,11,3.14664951845172,0.661940358756568,320
"298",5,3,11,1.50884279655991,0.65870096815749,61
"299",5,4,11,-0.361975499096824,0.673333333333333,6
"300",5,5,11,0.978516516835894,0.8125,5
"301",1,1,12,NA,1,2
"302",1,2,12,1.22691360345332,0.75,3
"303",1,3,12,0.675910695444462,0.608960149576493,39
"304",1,4,12,3.87620102294215,0.639040324515559,1125
"305",1,5,12,NA,NA,NA
"306",2,1,12,1.49752276237623,0.580555555555556,7
"307",2,2,12,0.678277977776822,0.75,3
"308",2,3,12,2.53327239691889,0.670436507936508,25
"309",2,4,12,0.367490964470376,0.680555555555556,7
"310",2,5,12,2.90503207571359,0.649141411955113,270
"311",3,1,12,0.749957773736937,0.65690230649983,131
"312",3,2,12,2.16887822657641,0.619146604008737,97
"313",3,3,12,0.29108733700228,0.791666666666667,5
"314",3,4,12,0.519343028202573,0.75,3
"315",3,5,12,-0.246379736704377,0.615704099821747,21
"316",4,1,12,0.635817126725377,0.644000942627594,690
"317",4,2,12,-0.558402673568165,0.633377906449404,241
"318",4,3,12,1.56886840870856,0.611111111111111,4
"319",4,4,12,NA,NA,NA
"320",4,5,12,NA,NA,NA
"321",5,1,12,0.379760850506948,0.814814814814815,10
"322",5,2,12,NA,1,2
"323",5,3,12,1.65959824110799,1,4
"324",5,4,12,0.580312738700066,0.612010989010989,26
"325",5,5,12,NA,1,2
"326",1,1,13,NA,1,2
"327",1,2,13,0.402038957917739,0.75,3
"328",1,3,13,2.12468202350384,0.596253784549455,45
"329",1,4,13,6.44563139497955,0.642363418080427,2975
"330",1,5,13,NA,NA,NA
"331",2,1,13,0.749593962280431,0.808974358974359,14
"332",2,2,13,-0.310964837505216,0.667361111111111,29
"333",2,3,13,2.06446181464231,0.614679794137458,311
"334",2,4,13,2.25729190203639,0.68095458228855,119
"335",2,5,13,1.3706197571327,0.681537168622356,122
"336",3,1,13,1.45349755826406,0.664825759106445,88
"337",3,2,13,-1.10296471062647,0.611111111111111,4
"338",3,3,13,0.79984710356676,0.564024104202676,29
"339",3,4,13,0.761361351059298,0.672374010089527,65
"340",3,5,13,1.94250658518558,0.59802830913942,28
"341",4,1,13,-0.00871554067936557,0.653329493709242,1477
"342",4,2,13,0.987445793895279,0.633499813332662,45
"343",4,3,13,2.22175300447898,0.682452422667906,95
"344",4,4,13,NA,NA,NA
"345",4,5,13,NA,NA,NA
"346",5,1,13,2.08682660525988,0.5992241175077,68
"347",5,2,13,1.77322081538604,0.636550159103712,128
"348",5,3,13,0.66466518127281,0.695355731225296,24
"349",5,4,13,-1.21269713094349,0.694444444444445,7
"350",5,5,13,-0.891338036982122,0.8,6
"351",1,1,14,NA,1,2
"352",1,2,14,NA,1,2
"353",1,3,14,1.16720986032625,0.714114832535885,20
"354",1,4,14,3.36948999897159,0.631954675613084,1177
"355",1,5,14,NA,NA,NA
"356",2,1,14,0.430298242279394,0.75,3
"357",2,2,14,2.38353757970309,0.694285714285714,21
"358",2,3,14,2.60162736111495,0.757245190706729,27
"359",2,4,14,0.835560293007161,0.681159420289855,24
"360",2,5,14,1.44617519282951,0.614025829243221,24
"361",3,1,14,NA,1,2
"362",3,2,14,-0.109872970923505,0.566228070175439,20
"363",3,3,14,-0.589307865351596,0.456666666666667,6
"364",3,4,14,0.445622742392405,0.752380952380952,8
"365",3,5,14,2.42546381214797,0.638337742504409,19
"366",4,1,14,-0.0577558118152741,0.662819717068984,235
"367",4,2,14,-0.654352757167607,0.635508709798233,233
"368",4,3,14,0.638308642511786,0.667131747261706,44
"369",4,4,14,NA,1,2
"370",4,5,14,NA,NA,NA
"371",5,1,14,4.39437512080739,0.632311394177663,935
"372",5,2,14,1.75736019185746,0.617631984367834,76
"373",5,3,14,3.12652145921542,0.582650762709242,46
"374",5,4,14,NA,1,2
"375",5,5,14,-0.438371760465277,0.75,3
"376",1,1,15,1.72456934059583,0.75,3
"377",1,2,15,1.36831964473755,0.75,3
"378",1,3,15,0.995827584028912,0.664859730866282,74
"379",1,4,15,2.75469905858,0.641760535345766,740
"380",1,5,15,NA,NA,NA
