"","param_vary","i_param_var","replicate","gamma","B2","SR"
"205",1,5,8,NA,NA,NA
"206",2,1,8,NA,1,2
"207",2,2,8,-1.61913595335908,2.4375,7
"208",2,3,8,-1.56252082338818,3.62890625,22
"209",2,4,8,0.263342381985952,4.130859375,36
"210",2,5,8,0.474179932880913,5.604736328125,112
"211",3,1,8,-2.64388390277715,4.182861328125,58
"212",3,2,8,-0.902314221513993,2.8671875,14
"213",3,3,8,-0.573915040614154,4.1357421875,45
"214",3,4,8,-1.79169907415228,4.6484375,40
"215",3,5,8,-0.606469456676533,3.109375,24
"216",4,1,8,-4.4818974062898,6.21224212646484,210
"217",4,2,8,-1.6290955592159,5.095703125,62
"218",4,3,8,-3.09057852766205,3.735595703125,83
"219",4,4,8,-0.543842745374119,1.75,4
"220",4,5,8,NA,NA,NA
"221",5,1,8,-3.1399520322886,5.0615234375,116
"222",5,2,8,-1.29290102373124,3.4921875,24
"223",5,3,8,-1.84002833024994,4.62890625,66
"224",5,4,8,-1.03622859088272,3.9375,27
"225",5,5,8,-0.798610852867156,1.5,3
"226",1,1,9,NA,1,2
"227",1,2,9,NA,1,2
"228",1,3,9,-3.05623195008188,5.34423828125,70
"229",1,4,9,-8.01222952008534,6.47693252563477,460
"230",1,5,9,NA,NA,NA
"231",2,1,9,-1.21082613190535,1.5,3
"232",2,2,9,-1.41747250201727,2.4375,11
"233",2,3,9,-1.56701725053908,5.0537109375,63
"234",2,4,9,-0.568710171967601,3.23025512695312,81
"235",2,5,9,1.51161079817023,5.68829345703125,131
"236",3,1,9,-1.43844051178312,3.85546875,26
"237",3,2,9,-2.90181671413129,3.5267333984375,90
"238",3,3,9,-1.98621179097292,3.63671875,20
"239",3,4,9,-0.617142750617159,4.6484375,33
"240",3,5,9,0.0215054567148265,2.75,14
"241",4,1,9,-3.44154235613238,5.604248046875,96
"242",4,2,9,-5.51743796522074,6.654052734375,240
"243",4,3,9,-1.99303160872021,4.0361328125,44
"244",4,4,9,NA,NA,NA
"245",4,5,9,NA,NA,NA
"246",5,1,9,-3.6349099516523,5.59521484375,148
"247",5,2,9,-1.16812950688196,4.08203125,30
"248",5,3,9,-1.98587625137573,4.9755859375,71
"249",5,4,9,NA,1,2
"250",5,5,9,-1.72935147110862,1.5,3
"251",1,1,10,NA,1,2
"252",1,2,10,-1.18115447499516,2.25,5
"253",1,3,10,-0.330674875737521,2.609375,13
"254",1,4,10,-14.2454697632458,8.61211490631104,1560
"255",1,5,10,NA,NA,NA
"256",2,1,10,NA,1,2
"257",2,2,10,-2.59616661169936,3.84375,29
"258",2,3,10,-1.20430724488005,4.98046875,50
"259",2,4,10,-1.84012524139632,6.240966796875,145
"260",2,5,10,-0.0916609352279726,6.70326232910156,401
"261",3,1,10,-2.33527906401811,3.534423828125,69
"262",3,2,10,-2.03425604273218,5.4404296875,81
"263",3,3,10,-0.350543425451136,2.9140625,25
"264",3,4,10,-0.634579123837166,2.9140625,18
"265",3,5,10,-0.000347929044774202,3.90869140625,54
"266",4,1,10,-5.69250257204983,6.80709838867188,382
"267",4,2,10,-4.26413618530728,6.681396484375,202
"268",4,3,10,-1.52222273362001,3.5859375,21
"269",4,4,10,NA,NA,NA
"270",4,5,10,NA,NA,NA
"271",5,1,10,-3.44318696645642,5.271484375,63
"272",5,2,10,-3.73531177591361,4.987548828125,118
"273",5,3,10,-3.31497800113117,3.48959350585938,92
"274",5,4,10,-1.33279734367166,4.5078125,45
"275",5,5,10,NA,1,2
"276",1,1,11,NA,1,2
"277",1,2,11,NA,1,2
"278",1,3,11,-0.418380391533244,4.46875,30
"279",1,4,11,-10.5870147304265,7.58506202697754,608
"280",1,5,11,NA,NA,NA
"281",2,1,11,NA,1,2
"282",2,2,11,-1.85840746419276,2.640625,14
"283",2,3,11,-0.928409664020079,4.267578125,44
"284",2,4,11,0.433749734908473,4.7822265625,74
"285",2,5,11,-1.44760174603285,6.51190185546875,325
"286",3,1,11,-3.4136649098336,4.74462890625,70
"287",3,2,11,-0.959805470022037,4.419921875,46
"288",3,3,11,-2.74224912743654,5.33837890625,101
"289",3,4,11,-2.88457675858093,4.392578125,63
"290",3,5,11,-2.55375379015003,5.46044921875,83
"291",4,1,11,-6.33381285515544,6.76104736328125,343
"292",4,2,11,0.445882471547847,2.21875,8
"293",4,3,11,-1.21885409787647,5.189453125,80
"294",4,4,11,NA,NA,NA
"295",4,5,11,NA,NA,NA
"296",5,1,11,-3.25427828332746,5.577392578125,99
"297",5,2,11,-2.55932659322669,5.27734375,52
"298",5,3,11,-2.94732538789629,5.658447265625,102
"299",5,4,11,0.258866415311664,1.5,3
"300",5,5,11,-0.847172569070293,2,5
"301",1,1,12,NA,1,2
"302",1,2,12,-0.691715215823342,1.5,3
"303",1,3,12,-0.563768957881724,4.08203125,32
"304",1,4,12,-7.98109082655725,6.89760494232178,558
"305",1,5,12,NA,NA,NA
"306",2,1,12,NA,1,2
"307",2,2,12,-1.46941083309497,3,9
"308",2,3,12,-0.938663443328406,4.5078125,31
"309",2,4,12,-0.667042335566037,5.6005859375,93
"310",2,5,12,0.268519500309106,5.603515625,87
"311",3,1,12,-1.49633262002189,4,38
"312",3,2,12,-1.21038717092218,4.21875,24
"313",3,3,12,-4.2046397992333,4.74853515625,111
"314",3,4,12,-0.706606613109123,3.734375,21
"315",3,5,12,-0.462107287039357,4.80078125,41
"316",4,1,12,-9.42388365201183,4.6119875907898,635
"317",4,2,12,-5.17393901163809,6.35357666015625,288
"318",4,3,12,-1.01182737261088,2.5,12
"319",4,4,12,NA,NA,NA
"320",4,5,12,NA,NA,NA
"321",5,1,12,-2.4390449369965,4.548828125,47
"322",5,2,12,-2.93337178228447,5.58551025390625,166
"323",5,3,12,-4.25248800581852,5.70599365234375,158
"324",5,4,12,-0.970990422166417,3.0625,10
"325",5,5,12,-0.975901044406343,2.125,6
"326",1,1,13,NA,1,2
"327",1,2,13,NA,1,2
"328",1,3,13,-1.95433312292999,5.658203125,87
"329",1,4,13,-10.9511241735696,7.68113040924072,1003
"330",1,5,13,-23.4425734607278,9.07763665914536,2814
"331",2,1,13,-1.1343828525607,2.046875,9
"332",2,2,13,-3.34542300173878,4.72265625,40
"333",2,3,13,-2.10741870501925,4.75830078125,79
"334",2,4,13,-0.881007339187389,4.4541015625,139
"335",2,5,13,0.315938317018743,6.11978530883789,426
"336",3,1,13,-1.70793307803541,3.40234375,71
"337",3,2,13,-0.293253929558405,3.78857421875,38
"338",3,3,13,-2.14859801716969,3.6484375,20
"339",3,4,13,0.176201700860444,1.75,4
"340",3,5,13,-2.71378993023395,5.1123046875,66
"341",4,1,13,-0.590526733595932,1.875,5
"342",4,2,13,-3.2564195451613,5.4375,89
"343",4,3,13,-0.275519435123391,2.453125,19
"344",4,4,13,0.289709333913264,2.125,6
"345",4,5,13,NA,NA,NA
"346",5,1,13,-2.43790034987167,5.627197265625,96
"347",5,2,13,-1.26532615534098,3.93331909179688,49
"348",5,3,13,-0.0775029300307605,3.7421875,23
"349",5,4,13,-1.32146211665321,4.046875,19
"350",5,5,13,NA,1,2
"351",1,1,14,NA,1,2
"352",1,2,14,NA,1,2
"353",1,3,14,-2.2532821003325,4.92529296875,60
"354",1,4,14,-12.2276100385096,7.42616033554077,1124
"355",1,5,14,NA,NA,NA
"356",2,1,14,-1.71249811412912,1.75,4
"357",2,2,14,NA,1,2
"358",2,3,14,-0.238784554940753,2.88671875,22
"359",2,4,14,-2.98161098418763,6.25067138671875,214
"360",2,5,14,-0.309468767840036,5.63525390625,109
"361",3,1,14,NA,1,2
"362",3,2,14,-0.980975525724935,4.2724609375,72
"363",3,3,14,-1.92100737555216,4.9822998046875,95
"364",3,4,14,-1.60718709194469,3.89453125,34
"365",3,5,14,-1.26086084956715,3.943359375,36
"366",4,1,14,-9.19432077343756,6.99240243434906,551
"367",4,2,14,-6.82978366288568,5.812744140625,269
"368",4,3,14,NA,1,2
"369",4,4,14,NA,NA,NA
"370",4,5,14,NA,NA,NA
"371",5,1,14,-3.13591327105891,5.20849609375,92
"372",5,2,14,-3.73398357188628,5.1337890625,73
"373",5,3,14,-0.141048144191856,2.37890625,19
"374",5,4,14,-0.367686071863276,2.625,7
"375",5,5,14,NA,1,2
"376",1,1,15,NA,1,2
"377",1,2,15,NA,1,2
"378",1,3,15,-1.62922839341053,3.37451171875,50
"379",1,4,15,-9.53096836265088,7.5825309753418,624
"380",1,5,15,NA,NA,NA
"381",2,1,15,NA,1,2
"382",2,2,15,-0.911870674682258,2.9375,11
"383",2,3,15,-0.771045926910251,4.21875,25
"384",2,4,15,-1.35836705328216,4.98046875,100
"385",2,5,15,0.059145971256897,6.649658203125,261
"386",3,1,15,NA,1,2
"387",3,2,15,NA,1,2
"388",3,3,15,-4.06253049090741,5.44252014160156,108
"389",3,4,15,0.368384597003278,2.71875,13
"390",3,5,15,-2.17284564582394,4.583984375,73
"391",4,1,15,-10.91926519098,7.62274169921875,488
"392",4,2,15,-1.38229271370098,3.5078125,51
"393",4,3,15,-1.3531585974658,5.015625,54
"394",4,4,15,-0.586676833700041,2.1875,7
"395",4,5,15,NA,NA,NA
"396",5,1,15,-1.33550313945737,4.52392578125,69
"397",5,2,15,-2.25366173836674,4.717041015625,58
"398",5,3,15,-3.21346611977414,4.55126953125,82
"399",5,4,15,NA,1,2
